,CA,SVM,D,MA,B,M,C,MHR,CANS,L,P,IncO,IncN,CamO,CamN,ConO,ConN,Confi,HyMS,AMIP,OTI,BYA,CostN,AE,AEOCN,NServ,Nteam,TieL,Ent,Mom,Tem,CulM,Cre,Mod,Bar,Obj,Inf,BenNube,MedBNube,ML,Cluster,Nombre Cluster
66,129ae0d2e8b3c8d269df8cdd0b2c805a14c3ae654c104977bd967445fd91e370,4.0,0.5,0.0,2.6666666666666665,1.75,0.0,188.97469906183335,4.416666666666667,37.956930845,8.157103285,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,25.5,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.650185795022272,1.4,0.5,Cluster Transición en Progreso
67,53e41f7a69d0b6175b40ed02b8578bfa843d2b02ea75ea025958c5190b20ddd0,4.0,0.5,0.0,0.0,0.0,0.0,5e-06,0.0,54.34911,28.78261582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,7.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.1206041197998875,1.6,2.0,Cluster Desafío en la Entrega
68,5f9774eb8efe44e742eeb7811f87b29ab7e02ec9bde47ebfafe9c28b136d6420,4.0,0.4930494573333334,304.3333333333333,1.5,0.0833333333333333,0.0,112.78192129275,1.5833333333333333,49.92466868,0.094565972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.5,7.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.613444293954424,1.4,2.0,Cluster Desafío en la Entrega
69,99583990fc1909c61c12330d7b55f8a19cd8045658c06198ea3271291d0b0ec5,4.0,0.4963455171666666,157.75,0.0,0.0,0.0,5e-06,0.0,19.79685953,7.451502895,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,27.5,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.8396682984719128,1.0,0.5,Cluster Transición en Progreso
70,ac961985ce73955baadd7505b09f0dbab3cd403339353a2e84e8551b5a386b49,4.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,19.79685953,3.5,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,28.0,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.833,1.0,0.5,Cluster Transición en Progreso
71,7d14ab1cddf2f6392de0e911a577f48f7e2e966eac17898e0b00ae7ba89add59,4.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,19.79685953,3.5,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,28.0,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.833,1.6,0.5,Cluster Transición en Progreso
72,d178e3d4600edadd7b47b26754419b703264ea94876f220634577c8d67c9ae71,4.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,19.79685953,5.0,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,28.0,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.833,1.6,0.5,Cluster Transición en Progreso
73,a91640e9b0d93db4b4de91a567d01a4392c0acacf42d9815d9a353736081271a,4.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,19.79685953,6.0,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,28.0,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.833,1.6,0.5,Cluster Transición en Progreso
74,93e3ff58fe8398a0bea8060a69f63cd523f5022242aa572e4889741449ba9b3d,4.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,19.79685953,2.5,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,28.0,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.833,1.6,0.5,Cluster Transición en Progreso
75,e44bd437bfc2380a26fcd7baf71856712b3ed9193f348f242c2a4974db9c16e2,4.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,19.79685953,7.416666665,1.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,28.0,11.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.833,1.6,0.5,Cluster Transición en Progreso
76,38fd1d87f1b8caef2f47f836a4ec14393132a8c580e955af9c007f52e527b7f1,4.0,0.4974960673333334,115.41666666666664,0.6666666666666666,0.0,0.0833333333333333,22.8427314815,0.75,37.97986111,0.961815476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,0.0,27.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.6996215288264274,1.6,1.5,Cluster Avance y rápida recuperación
77,4db7073bc6ab4b8b5a26bea8f83b524760d6baa12a4e1166189b8186b2bc8d5a,4.0,0.5,0.0,0.16666666666666666,0.0,0.0,20.514212965,0.16666666666666666,54.82842365,23.488707615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.5,7.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.1625478046866777,1.6,2.0,Cluster Desafío en la Entrega
78,792c5e2cfc6a887687b221bf337212e8496e886ce9e681f641a9362e58e5a585,4.0,0.4990255376666666,43.083333333333336,0.0833333333333333,0.0,0.0,0.8864120366666667,0.0833333333333333,26.993662185,6.73102124,0.0,1.0,0.0,1.5,0.0,1.5,1.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,29.0,5.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.8397043039882048,1.6,1.0,Cluster Eficiencia en Entrega
79,618cf7e1d29ceb76280ce01fc6d25241c19609367f0ab74930d52864cc510a8a,4.5,0.4987001754166666,80.66666666666667,1.0833333333333333,0.0,0.0,17.383124999333333,1.0833333333333333,16.8983427,5.485872,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,29.5,2.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.8396999328142556,1.6,2.0,Cluster Desafío en la Entrega
80,b834498d9c7646788a39c5649d0fd0069ee84ea795b1de4cda9528b7ae6414ef,3.0,0.4995524691666667,24.666666666666668,0.0,0.0,0.0,5e-06,0.0,32.811177185,9.19724315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,4.5,1.5,1.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.5,1.0,1.7027823611956512,1.4,-0.5,Cluster de adaptación
